# prefix,country_code,region_code,city,postal
2a0a:280:1100::/40,ID,ID-NB,Mataram,83122
2a0a:280:1100::/44,ID,ID-NB,Mataram,83122
2a0a:280:1110::/44,ID,ID-NB,Mataram,83122
2a0a:280:1120::/44,ID,ID-NB,Mataram,83122
2a0a:280:1130::/44,ID,ID-NB,Mataram,83122
2a0a:280:1140::/44,ID,ID-NB,Mataram,83122
2a0a:280:1150::/44,ID,ID-NB,Mataram,83122
2a0a:280:1160::/44,ID,ID-NB,Mataram,83122
2a0a:280:1170::/44,ID,ID-NB,Mataram,83122
2a0a:280:1180::/44,ID,ID-NB,Mataram,83122
2a0a:280:1190::/44,ID,ID-NB,Mataram,83122
2a0a:280:11a0::/44,ID,ID-NB,Mataram,83122
2a0a:280:11b0::/44,ID,ID-NB,Mataram,83122
2a0a:280:11c0::/44,ID,ID-NB,Mataram,83122
2a0a:280:11d0::/44,ID,ID-NB,Mataram,83122
2a0a:280:11e0::/44,ID,ID-NB,Mataram,83122
2a0a:280:11f0::/44,ID,ID-NB,Mataram,83122
2a0a:280:1100::/48,ID,ID-NB,Mataram,83122
2a0a:280:1101::/48,ID,ID-NB,Mataram,83122
2a0a:280:1102::/48,ID,ID-NB,Mataram,83122
2a0a:280:1103::/48,ID,ID-NB,Mataram,83122
2a0a:280:1104::/48,ID,ID-NB,Mataram,83122
2a0a:280:1105::/48,ID,ID-NB,Mataram,83122
2a0a:280:1106::/48,ID,ID-NB,Mataram,83122
2a0a:280:1107::/48,ID,ID-NB,Mataram,83122
2a0a:280:1108::/48,ID,ID-NB,Mataram,83122
2a0a:280:1109::/48,ID,ID-NB,Mataram,83122
2a0a:280:110a::/48,ID,ID-NB,Mataram,83122
2a0a:280:110b::/48,ID,ID-NB,Mataram,83122
2a0a:280:110c::/48,ID,ID-NB,Mataram,83122
2a0a:280:110d::/48,ID,ID-NB,Mataram,83122
2a0a:280:110e::/48,ID,ID-NB,Mataram,83122
2a0a:280:110f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1110::/48,ID,ID-NB,Mataram,83122
2a0a:280:1111::/48,ID,ID-NB,Mataram,83122
2a0a:280:1112::/48,ID,ID-NB,Mataram,83122
2a0a:280:1113::/48,ID,ID-NB,Mataram,83122
2a0a:280:1114::/48,ID,ID-NB,Mataram,83122
2a0a:280:1115::/48,ID,ID-NB,Mataram,83122
2a0a:280:1116::/48,ID,ID-NB,Mataram,83122
2a0a:280:1117::/48,ID,ID-NB,Mataram,83122
2a0a:280:1118::/48,ID,ID-NB,Mataram,83122
2a0a:280:1119::/48,ID,ID-NB,Mataram,83122
2a0a:280:111a::/48,ID,ID-NB,Mataram,83122
2a0a:280:111b::/48,ID,ID-NB,Mataram,83122
2a0a:280:111c::/48,ID,ID-NB,Mataram,83122
2a0a:280:111d::/48,ID,ID-NB,Mataram,83122
2a0a:280:111e::/48,ID,ID-NB,Mataram,83122
2a0a:280:111f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1120::/48,ID,ID-NB,Mataram,83122
2a0a:280:1121::/48,ID,ID-NB,Mataram,83122
2a0a:280:1122::/48,ID,ID-NB,Mataram,83122
2a0a:280:1123::/48,ID,ID-NB,Mataram,83122
2a0a:280:1124::/48,ID,ID-NB,Mataram,83122
2a0a:280:1125::/48,ID,ID-NB,Mataram,83122
2a0a:280:1126::/48,ID,ID-NB,Mataram,83122
2a0a:280:1127::/48,ID,ID-NB,Mataram,83122
2a0a:280:1128::/48,ID,ID-NB,Mataram,83122
2a0a:280:1129::/48,ID,ID-NB,Mataram,83122
2a0a:280:112a::/48,ID,ID-NB,Mataram,83122
2a0a:280:112b::/48,ID,ID-NB,Mataram,83122
2a0a:280:112c::/48,ID,ID-NB,Mataram,83122
2a0a:280:112d::/48,ID,ID-NB,Mataram,83122
2a0a:280:112e::/48,ID,ID-NB,Mataram,83122
2a0a:280:112f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1130::/48,ID,ID-NB,Mataram,83122
2a0a:280:1131::/48,ID,ID-NB,Mataram,83122
2a0a:280:1132::/48,ID,ID-NB,Mataram,83122
2a0a:280:1133::/48,ID,ID-NB,Mataram,83122
2a0a:280:1134::/48,ID,ID-NB,Mataram,83122
2a0a:280:1135::/48,ID,ID-NB,Mataram,83122
2a0a:280:1136::/48,ID,ID-NB,Mataram,83122
2a0a:280:1137::/48,ID,ID-NB,Mataram,83122
2a0a:280:1138::/48,ID,ID-NB,Mataram,83122
2a0a:280:1139::/48,ID,ID-NB,Mataram,83122
2a0a:280:113a::/48,ID,ID-NB,Mataram,83122
2a0a:280:113b::/48,ID,ID-NB,Mataram,83122
2a0a:280:113c::/48,ID,ID-NB,Mataram,83122
2a0a:280:113d::/48,ID,ID-NB,Mataram,83122
2a0a:280:113e::/48,ID,ID-NB,Mataram,83122
2a0a:280:113f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1140::/48,ID,ID-NB,Mataram,83122
2a0a:280:1141::/48,ID,ID-NB,Mataram,83122
2a0a:280:1142::/48,ID,ID-NB,Mataram,83122
2a0a:280:1143::/48,ID,ID-NB,Mataram,83122
2a0a:280:1144::/48,ID,ID-NB,Mataram,83122
2a0a:280:1145::/48,ID,ID-NB,Mataram,83122
2a0a:280:1146::/48,ID,ID-NB,Mataram,83122
2a0a:280:1147::/48,ID,ID-NB,Mataram,83122
2a0a:280:1148::/48,ID,ID-NB,Mataram,83122
2a0a:280:1149::/48,ID,ID-NB,Mataram,83122
2a0a:280:114a::/48,ID,ID-NB,Mataram,83122
2a0a:280:114b::/48,ID,ID-NB,Mataram,83122
2a0a:280:114c::/48,ID,ID-NB,Mataram,83122
2a0a:280:114d::/48,ID,ID-NB,Mataram,83122
2a0a:280:114e::/48,ID,ID-NB,Mataram,83122
2a0a:280:114f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1150::/48,ID,ID-NB,Mataram,83122
2a0a:280:1151::/48,ID,ID-NB,Mataram,83122
2a0a:280:1152::/48,ID,ID-NB,Mataram,83122
2a0a:280:1153::/48,ID,ID-NB,Mataram,83122
2a0a:280:1154::/48,ID,ID-NB,Mataram,83122
2a0a:280:1155::/48,ID,ID-NB,Mataram,83122
2a0a:280:1156::/48,ID,ID-NB,Mataram,83122
2a0a:280:1157::/48,ID,ID-NB,Mataram,83122
2a0a:280:1158::/48,ID,ID-NB,Mataram,83122
2a0a:280:1159::/48,ID,ID-NB,Mataram,83122
2a0a:280:115a::/48,ID,ID-NB,Mataram,83122
2a0a:280:115b::/48,ID,ID-NB,Mataram,83122
2a0a:280:115c::/48,ID,ID-NB,Mataram,83122
2a0a:280:115d::/48,ID,ID-NB,Mataram,83122
2a0a:280:115e::/48,ID,ID-NB,Mataram,83122
2a0a:280:115f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1160::/48,ID,ID-NB,Mataram,83122
2a0a:280:1161::/48,ID,ID-NB,Mataram,83122
2a0a:280:1162::/48,ID,ID-NB,Mataram,83122
2a0a:280:1163::/48,ID,ID-NB,Mataram,83122
2a0a:280:1164::/48,ID,ID-NB,Mataram,83122
